division,district,psa,full_psa_num,American Indian,Asian,Unknown,White - Non-Latino,White - Latino,Black - Non-Latino,Black - Latino
SWPD,18,2,182,97.0,580.0,1498.0,2841.0,96.0,15930.0,235.0
SWPD,18,3,183,86.0,9015.0,4097.0,17170.0,723.0,7226.0,197.0
CPD,22,1,221,99.0,930.0,1843.0,5329.0,254.0,15026.0,323.0
CPD,22,2,222,60.0,100.0,1064.0,321.0,60.0,17057.0,265.0
CPD,22,3,223,44.0,2599.0,2019.0,7123.0,309.0,9253.0,223.0
CPD,22,4,224,34.0,360.0,1077.0,3251.0,102.0,7817.0,137.0
EPD,24,1,241,273.0,1820.0,14920.0,3919.0,2142.0,5400.0,922.0
EPD,24,2,242,186.0,411.0,9151.0,2615.0,1354.0,3534.0,583.0
EPD,24,3,243,63.0,384.0,2731.0,13885.0,550.0,1147.0,150.0
EPD,26,1,261,119.0,331.0,5275.0,867.0,849.0,3586.0,383.0
EPD,26,2,262,102.0,1239.0,3668.0,8919.0,559.0,3933.0,252.0
EPD,26,3,263,63.0,1910.0,3489.0,19497.0,634.0,1166.0,115.0
NWPD,35,1,351,167.0,4273.0,4753.0,1915.0,464.0,25316.0,464.0
NWPD,35,3,353,98.0,506.0,1587.0,1227.0,194.0,23481.0,299.0
NWPD,39,1,391,69.0,1162.0,2440.0,9693.0,289.0,15695.0,320.0
NWPD,39,2,392,56.0,199.0,1247.0,360.0,128.0,14378.0,217.0
NWPD,39,3,393,32.0,92.0,769.0,210.0,61.0,13039.0,192.0
SWPD,19,1,191,69.0,541.0,1644.0,3680.0,98.0,24373.0,247.0
SWPD,19,2,192,84.0,249.0,1550.0,426.0,51.0,26774.0,310.0
SWPD,19,3,193,59.0,1236.0,1527.0,3715.0,134.0,18407.0,238.0
SPD,03,1,031,40.0,1779.0,2193.0,14515.0,284.0,2050.0,71.0
SPD,03,3,033,349.0,9279.0,7888.0,25838.0,785.0,1930.0,104.0
SPD,03,2,032,140.0,4663.0,3620.0,14928.0,402.0,2068.0,77.0
EPD,25,4,254,147.0,207.0,6632.0,309.0,887.0,6633.0,431.0
EPD,25,3,253,220.0,329.0,13542.0,945.0,1921.0,2690.0,712.0
NEPD,15,1,151,273.0,971.0,10827.0,11250.0,1378.0,14079.0,816.0
EPD,25,2,252,189.0,950.0,9792.0,1061.0,1198.0,3855.0,549.0
NWPD,35,2,352,191.0,3044.0,7734.0,1088.0,693.0,22030.0,599.0
EPD,25,1,251,98.0,313.0,7606.0,282.0,894.0,4942.0,546.0
